Warranty,Category,BRAND,DETAILS, ,VAT-EX (SPCL),VAT-EX (RESELLER),VAT-INC (SRP),CURRENT BUL stocks,image_url
3MOS,COOLER FAN,JONSBO,CR 1400 EVO - ARGB BLACK,COOLER FAN - JONSBO CR 1400 EVO - ARGB BLACK,₱850,₱830.00,₱952.00,0,/images/components/cooler fan/JONSBO CR 1400 EVO - ARGB BLACK.png
3MOS,COOLER FAN,JONSBO,CR 1400 EVO - ARGB WHITE,COOLER FAN - JONSBO CR 1400 EVO - ARGB WHITE,₱860,₱840.00,₱963.20,2,/images/components/cooler fan/JONSBO CR 1400 EVO - ARGB WHITE.png
3MOS,COOLER FAN,DEEPCOOL ,AG400  - (DIGITAL WITH ARGB) WHITE,COOLER FAN - DEEPCOOL  AG400  - (DIGITAL WITH ARGB) WHITE,"₱1,750","₱1,720.00","₱1,960.00",0,/images/components/cooler fan/DEEPCOOL AG400  - (DIGITAL WITH ARGB) WHITE.png
3MOS,COOLER FAN,DEEPCOOL ,AG400  - (DIGITAL WITH ARGB) BLACK,COOLER FAN - DEEPCOOL  AG400  - (DIGITAL WITH ARGB) BLACK,"₱1,650","₱1,620.00","₱1,848.00",0,/images/components/cooler fan/DEEPCOOL AG400  - (DIGITAL WITH ARGB) BLACK.png
3MOS,COOLER FAN,DEEPCOOL ,AK400  -  black,COOLER FAN - DEEPCOOL  AK400  -  black,,,₱0.00,0,/images/components/cooler fan/DEEPCOOL AK400  -  black.png
3MOS,COOLER FAN,DEEPCOOL ,AK400  -  white ,COOLER FAN - DEEPCOOL  AK400  -  white ,,,₱0.00,0,/images/components/cooler fan/DEEPCOOL AK400  -  white.png
1WK,FAN,ADLINK,DUAL RING - RED,FAN - ADLINK DUAL RING - RED,₱120,₱110.00,₱134.40,13,/images/components/fan/ADLINK DUAL RING - RED.png
1WK,FAN,GSTORM,BLAZE FS -  BLACK,FAN - GSTORM BLAZE FS -  BLACK,₱130,₱120.00,₱145.60,0,/images/components/fan/GSTORM BLAZE FS -  BLACK.png
1WK,FAN,GSTORM,SLIM FRAME - GREEN,FAN - GSTORM SLIM FRAME - GREEN,₱130,₱120.00,₱145.60,0,/images/components/fan/GSTORM SLIM FRAME - GREEN.png
1WK,FAN,GSTORM,SLIM FRAME - ICED BLUE,FAN - GSTORM SLIM FRAME - ICED BLUE,₱130,₱120.00,₱145.60,7,/images/components/fan/GSTORM SLIM FRAME - ICED BLUE.png
1WK,FAN,GSTORM,NON-LED,FAN - GSTORM NON-LED,₱80,₱70.00,₱89.60,19,/images/components/fan/GSTORM NON-LED.png
1WK,FAN,GSTORM,OCTA BLAZE -  WHITE,FAN - GSTORM OCTA BLAZE -  WHITE,₱130,₱120.00,₱145.60,5,/images/components/fan/GSTORM OCTA BLAZE -  WHITE.png
1WK,FAN,GSTORM,FROST - RAINBOW,FAN - GSTORM FROST - RAINBOW,₱130,₱120.00,₱145.60,15,/images/components/fan/GSTORM FROST - RAINBOW.png
1WK,FAN,GSTORM,DIAMOND FAN - RGB,FAN - GSTORM DIAMOND FAN - RGB,₱110,₱100.00,₱123.20,6,/images/components/fan/GSTORM DIAMOND FAN - RGB.png
1WK,FAN,GSTORM,SLIM - PINK,FAN - GSTORM SLIM - PINK,₱150,₱130.00,₱168.00,22,/images/components/fan/GSTORM SLIM - PINK.png
1WK,FAN,GSTORM,DIAMOND FAN - ORANGE,FAN - GSTORM DIAMOND FAN - ORANGE,₱110,₱100.00,₱123.20,12,/images/components/fan/GSTORM DIAMOND FAN - ORANGE.png
1WK,FAN,GSTORM,DIAMOND FAN  PINK,FAN - GSTORM DIAMOND FAN  PINK,₱110,₱90.00,₱123.20,11,/images/components/fan/GSTORM DIAMOND FAN  PINK.png
1WK,FAN,GSTORM,DUAL RING - PURPLE,FAN - GSTORM DUAL RING - PURPLE,₱130,₱80.00,₱145.60,31,/images/components/fan/GSTORM DUAL RING - PURPLE.png
1WK,FAN,GSTORM,SLIM FRAME - ARGB BLACK,FAN - GSTORM SLIM FRAME - ARGB BLACK,₱150,₱130.00,₱168.00,7,/images/components/fan/GSTORM SLIM FRAME - ARGB BLACK.png
1WK,FAN,INPLAY,SEAVIEW TOWER X1-B SINGLE 6-pin FAN-EXTRA - BLACK ,FAN - INPLAY SEAVIEW TOWER X1-B SINGLE 6-pin FAN-EXTRA - BLACK ,₱200,₱190.00,₱224.00,4,/images/components/fan/INPLAY SEAVIEW TOWER X1-B SINGLE 6-pin FAN-EXTRA - BLACK.png
1WK,FAN,INPLAY,SEAVIEW FAN F1 SINGLE MINI 4-pin FAN-EXTRA - BLACK ,FAN - INPLAY SEAVIEW FAN F1 SINGLE MINI 4-pin FAN-EXTRA - BLACK ,₱200,₱180.00,₱224.00,5,/images/components/fan/INPLAY SEAVIEW FAN F1 SINGLE MINI 4-pin FAN-EXTRA - BLACK.png
1WK,FAN,INPLAY,SEAVIEW FAN F1 SINGLE MINI 4-pin FAN-EXTRA - WHITE,FAN - INPLAY SEAVIEW FAN F1 SINGLE MINI 4-pin FAN-EXTRA - WHITE,₱220,₱200.00,₱246.40,4,/images/components/fan/INPLAY SEAVIEW FAN F1 SINGLE MINI 4-pin FAN-EXTRA - WHITE.png
1WK,FAN,INTELLIGENT,DUAL ECLIPSE 7 COLORS,FAN - INTELLIGENT DUAL ECLIPSE 7 COLORS,₱110,₱105.00,₱123.20,3,/images/components/fan/INTELLIGENT DUAL ECLIPSE 7 COLORS.png
,FAN,KEYTECH,PRISM WHITE EXTRA FAN,FAN - KEYTECH PRISM WHITE EXTRA FAN,₱200,₱200.00,₱224.00,6,/images/components/fan/KEYTECH PRISM WHITE EXTRA FAN.png
,FAN,KEYTECH,PRISM BLACK EXTRA FAN,FAN - KEYTECH PRISM BLACK EXTRA FAN,₱200,₱200.00,₱224.00,2,/images/components/fan/KEYTECH PRISM BLACK EXTRA FAN.png
1WK,FAN,YGT,1290 RAINBOW - WHITE RING FRAME,FAN - YGT 1290 RAINBOW - WHITE RING FRAME,₱130,₱120.00,₱145.60,1,/images/components/fan/YGT 1290 RAINBOW - WHITE RING FRAME.png
,FAN,DEEP COOL,FC120 3-IN-1 BLACK EXTRA FAN,FAN - DEEP COOL FC120 3-IN-1 BLACK EXTRA FAN,₱680,₱660.00,₱761.60,2,/images/components/fan/DEEP COOL FC120 3-IN-1 BLACK EXTRA FAN.png
1WK,FAN,GSTORM,DUAL RING - ICE BLUE,FAN - GSTORM DUAL RING - ICE BLUE,₱150,₱130.00,₱168.00,20,/images/components/fan/GSTORM DUAL RING - ICE BLUE.png
1WK,FAN,GSTORM,DUAL RING - RAINBOW,FAN - GSTORM DUAL RING - RAINBOW,₱150,₱130.00,₱168.00,20,/images/components/fan/GSTORM DUAL RING - RAINBOW.png
1WK,FAN,GSTORM,SLIM FRAME - WHITE,FAN - GSTORM SLIM FRAME - WHITE,₱150,₱130.00,₱168.00,0,/images/components/fan/GSTORM SLIM FRAME - WHITE.png
,FAN,KEYTECH,TORNADO - SINGLE WHITE,FAN - KEYTECH TORNADO - SINGLE WHITE,₱120,₱100.00,₱134.40,0,/images/components/fan/KEYTECH TORNADO - SINGLE WHITE.png
2MOS,FAN-KIT,DARKFLASH,DR12 PRO - 3-IN-1 KIT,FAN-KIT - DARKFLASH DR12 PRO - 3-IN-1 KIT,"₱1,100","₱1,080.00","₱1,232.00",1,/images/components/fan-kit/DARKFLASH DR12 PRO - 3-IN-1 KIT.png
1MO,FAN-KIT,DARKFLASH,DARKFLASH DR12 PRO - SINGLE FAN,FAN-KIT - DARKFLASH DARKFLASH DR12 PRO - SINGLE FAN,₱250,₱250.00,₱280.00,1,/images/components/fan-kit/DARKFLASH DARKFLASH DR12 PRO - SINGLE FAN.png
2MOS,FAN-KIT,INPLAY,ICE TOWER - 3-IN-1 KIT,FAN-KIT - INPLAY ICE TOWER - 3-IN-1 KIT,₱580,₱560.00,₱649.60,3,/images/components/fan-kit/INPLAY ICE TOWER - 3-IN-1 KIT.png
1WK,FAN-KIT,INPLAY,SEAVIEW TOWER X3-B - BLACK,FAN-KIT - INPLAY SEAVIEW TOWER X3-B - BLACK,₱750,₱730.00,₱840.00,5,/images/components/fan-kit/INPLAY SEAVIEW TOWER X3-B - BLACK.png
2WKS,FAN-KIT,INPLAY,ICE TOWER - ICE ONE (extra fan),FAN-KIT - INPLAY ICE TOWER - ICE ONE (extra fan),₱180,₱180.00,₱201.60,7,/images/components/fan-kit/INPLAY ICE TOWER - ICE ONE (extra fan).png
1WK,FAN-KIT,INPLAY,SEAVIEW TOWER F3-BLACK 3IN1 ARGB MINI 4 PIN,FAN-KIT - INPLAY SEAVIEW TOWER F3-BLACK 3IN1 ARGB MINI 4 PIN,₱670,₱650.00,₱750.40,3,/images/components/fan-kit/INPLAY SEAVIEW TOWER F3-BLACK 3IN1 ARGB MINI 4 PIN.png
1WK,FAN-KIT,INPLAY,SEAVIEW TOWER F3-WHITE 3IN1 ARGB MINI 4 PIN,FAN-KIT - INPLAY SEAVIEW TOWER F3-WHITE 3IN1 ARGB MINI 4 PIN,₱690,₱670.00,₱772.80,0,/images/components/fan-kit/INPLAY SEAVIEW TOWER F3-WHITE 3IN1 ARGB MINI 4 PIN.png
2WKS,FAN-KIT,KEYTECH,PRISM WHITE,FAN-KIT - KEYTECH PRISM WHITE,₱690,₱690.00,₱772.80,6,/images/components/fan-kit/KEYTECH PRISM WHITE.png
2WKS,FAN-KIT,KEYTECH,PRISM BLACK,FAN-KIT - KEYTECH PRISM BLACK,₱670,₱670.00,₱750.40,0,/images/components/fan-kit/KEYTECH PRISM BLACK.png
2WKS,FAN-KIT,LIAN LI,SL INFINITY 120-3 WHITE COOLER,FAN-KIT - LIAN LI SL INFINITY 120-3 WHITE COOLER,"₱5,600","₱5,580.00","₱6,272.00",1,/images/components/fan-kit/LIAN LI SL INFINITY 120-3 WHITE COOLER.png
1MO,FAN-KIT,YGT,1250 ARGB - 3-IN-1 KIT,FAN-KIT - YGT 1250 ARGB - 3-IN-1 KIT,₱880,₱860.00,₱985.60,0,/images/components/fan-kit/YGT 1250 ARGB - 3-IN-1 KIT.png
2WKS,FAN-KIT,YGT,ARGB 3IN1 1255 - EXTRA FAN,FAN-KIT - YGT ARGB 3IN1 1255 - EXTRA FAN,₱200,₱180.00,₱224.00,10,/images/components/fan-kit/YGT ARGB 3IN1 1255 - EXTRA FAN.png
2WKS,FAN-KIT,DEEP COOL,FC120 3-IN-1 BLACK,FAN-KIT - DEEP COOL FC120 3-IN-1 BLACK,"₱1,800","₱1,780.00","₱2,016.00",1,/images/components/fan-kit/DEEP COOL FC120 3-IN-1 BLACK.png
1MO,FAN-KIT,KEYTECH,TORNADO - 3-IN-1 KIT WHITE,FAN-KIT - KEYTECH TORNADO - 3-IN-1 KIT WHITE,₱650,₱630.00,₱728.00,0,/images/components/fan-kit/KEYTECH TORNADO - 3-IN-1 KIT WHITE.png
1YR,GPU,COLORFUL,GEFORCE RTX 3070 BATTLE AX 8GB,GPU - COLORFUL GEFORCE RTX 3070 BATTLE AX 8GB,"₱27,900","₱27,850.00","₱31,248.00",0,/images/components/gpu/COLORFUL GEFORCE RTX 3070 BATTLE AX 8GB.png
1YR,GPU,COLORFUL,IGAME ULTRA RTX 4060 8GB GDDR6 (WHITE),GPU - COLORFUL IGAME ULTRA RTX 4060 8GB GDDR6 (WHITE),"₱18,500","₱18,300.00","₱20,720.00",0,/images/components/gpu/COLORFUL IGAME ULTRA RTX 4060 8GB GDDR6 (WHITE).png
1YR,GPU,GALAX,GTX 1650EX PLUS - 1-CLICK OC 4GB DDR6 128BIT,GPU - GALAX GTX 1650EX PLUS - 1-CLICK OC 4GB DDR6 128BIT,"₱8,100","₱8,050.00","₱9,072.00",1,/images/components/gpu/GALAX GTX 1650EX PLUS - 1-CLICK OC 4GB DDR6 128BIT.png
1YR,GPU,GALAX,RTX 4060 1-CLICK OC BLACK 2X V2 PCI-E -8GB,GPU - GALAX RTX 4060 1-CLICK OC BLACK 2X V2 PCI-E -8GB,"₱17,300","₱17,200.00","₱19,376.00",1,/images/components/gpu/GALAX RTX 4060 1-CLICK OC BLACK 2X V2 PCI-E -8GB.png
1YR,GPU,GALAX,RTX 3060 1-CLICK OC BLK PCI-E 192BIT-PG190 12GB,GPU - GALAX RTX 3060 1-CLICK OC BLK PCI-E 192BIT-PG190 12GB,"₱15,800","₱15,780.00","₱17,696.00",3,/images/components/gpu/GALAX RTX 3060 1-CLICK OC BLK PCI-E 192BIT-PG190 12GB.png
1YR,GPU,GALAX,RTX 3050 1-CLICK OC BLK PCI-E 96BIT 6GB,GPU - GALAX RTX 3050 1-CLICK OC BLK PCI-E 96BIT 6GB,"₱10,400","₱10,400.00","₱11,648.00",2,/images/components/gpu/GALAX RTX 3050 1-CLICK OC BLK PCI-E 96BIT 6GB.png
1YR,GPU,GIGABYTE,RX 6600 - 8GB GV-R66 EAGLE ,GPU - GIGABYTE RX 6600 - 8GB GV-R66 EAGLE ,"₱13,200","₱13,150.00","₱14,784.00",2,/images/components/gpu/GIGABYTE RX 6600 - 8GB GV-R66 EAGLE.png
1YR,GPU,RAMSTA,RX580 8GB / GDDR5 / 256BIT,GPU - RAMSTA RX580 8GB / GDDR5 / 256BIT,"₱5,200","₱5,150.00","₱5,824.00",1,/images/components/gpu/RAMSTA RX580 8GB / GDDR5 / 256BIT.png
1YR,GPU,RAMSTA,RX550 4GB /GDDR5/128 BIT,GPU - RAMSTA RX550 4GB /GDDR5/128 BIT,"₱3,300","₱3,280.00","₱3,696.00",1,/images/components/gpu/RAMSTA RX550 4GB /GDDR5/128 BIT.png
1YR,GPU,GIGABYTE,RTX 4070 SUPER EAGLE OC 12GB,GPU - GIGABYTE RTX 4070 SUPER EAGLE OC 12GB,"₱40,820","₱40,800.00","₱45,718.40",0,/images/components/gpu/GIGABYTE RTX 4070 SUPER EAGLE OC 12GB.png
1YR,GPU,PNY,VERTO RTX 4060 8GB DUAL FAN OC,GPU - PNY VERTO RTX 4060 8GB DUAL FAN OC,"₱16,800","₱16,700.00","₱18,816.00",0,/images/components/gpu/PNY VERTO RTX 4060 8GB DUAL FAN OC.png
1YR,GPU,SAPPHIRE,PULSE AMD RADEON RX 7800 XT GAMING 16GB GDDR6 DUAL HDMI/ DUAL DP LITE,GPU - SAPPHIRE PULSE AMD RADEON RX 7800 XT GAMING 16GB GDDR6 DUAL HDMI/ DUAL DP LITE,"₱31,800",,"₱35,616.00",0,/images/components/gpu/SAPPHIRE PULSE AMD RADEON RX 7800 XT GAMING 16GB GDDR6 DUAL HDMI/ DUAL DP LITE.png
1YR,GPU,GIGABYTE,RTX 4060 AERO OC 8GB VGA CARD 128BIT GDR6 WHITE TRIFAN,GPU - GIGABYTE RTX 4060 AERO OC 8GB VGA CARD 128BIT GDR6 WHITE TRIFAN,"₱20,650","₱20,550.00","₱23,128.00",0,/images/components/gpu/GIGABYTE RTX 4060 AERO OC 8GB VGA CARD 128BIT GDR6 WHITE TRIFAN.png
1YR,GPU,GIGABYTE,RTX 4060TI AERO OC 16GB VGA CARD 128BIT GDR6 WHITE TRIFAN,GPU - GIGABYTE RTX 4060TI AERO OC 16GB VGA CARD 128BIT GDR6 WHITE TRIFAN,"₱30,895","₱30,795.00","₱34,602.40",0,/images/components/gpu/GIGABYTE RTX 4060TI AERO OC 16GB VGA CARD 128BIT GDR6 WHITE TRIFAN.png
1YR,GPU,GIGABYTE,RTX 4060TI AERO OC 8GB VGA CARD 128BIT GDR6 WHITE TRIFAN,GPU - GIGABYTE RTX 4060TI AERO OC 8GB VGA CARD 128BIT GDR6 WHITE TRIFAN,"₱27,650","₱27,550.00","₱30,968.00",0,/images/components/gpu/GIGABYTE RTX 4060TI AERO OC 8GB VGA CARD 128BIT GDR6 WHITE TRIFAN.png
1YR,HDD,SEAGATE,3.5-inch SATA - 1TB ,HDD - SEAGATE 3.5-inch SATA - 1TB ,"₱1,800","₱1,750.00","₱2,016.00",1,/images/components/hdd/SEAGATE 3.5-inch SATA - 1TB.png
1YR,HDD,SEAGATE,3.5-inch SATA - 2TB,HDD - SEAGATE 3.5-inch SATA - 2TB,"₱3,450","₱3,400.00","₱3,864.00",1,/images/components/hdd/SEAGATE 3.5-inch SATA - 2TB.png
1YR,HDD,SEAGATE,3.5-inch SATA - 500GB,HDD - SEAGATE 3.5-inch SATA - 500GB,₱850,₱800.00,₱952.00,1,/images/components/hdd/SEAGATE 3.5-inch SATA - 500GB.png
1YR,HDD,WD,3.5-inch SATA - 2TB,HDD - WD 3.5-inch SATA - 2TB,"₱2,800","₱2,750.00","₱3,136.00",0,/images/components/hdd/WD 3.5-inch SATA - 2TB.png
2WKS,HDD (USED),SEAGATE,2000GB (USED),HDD (USED) - SEAGATE 2000GB (USED),,,₱0.00,0,/images/components/hdd (used)/SEAGATE 2000GB (USED).png
1YR,HDD PORTABLE,WD,MY PASSPORT PORTABLE HDD 3.0 - 2TB,HDD PORTABLE - WD MY PASSPORT PORTABLE HDD 3.0 - 2TB,"₱4,080","₱4,060.00","₱4,569.60",0,/images/components/hdd portable/WD MY PASSPORT PORTABLE HDD 3.0 - 2TB.png
1YR,HDD PORTABLE,WD,MY PASSPORT PORTABLE ULTRA - 1TB WHITE,HDD PORTABLE - WD MY PASSPORT PORTABLE ULTRA - 1TB WHITE,"₱3,600","₱3,580.00","₱4,032.00",0,/images/components/hdd portable/WD MY PASSPORT PORTABLE ULTRA - 1TB WHITE.png
,HEATSINK FAN,INTEL,10-11 GEN,HEATSINK FAN - INTEL 10-11 GEN,,-₱20.00,₱0.00,0,/images/components/heatsink fan/INTEL 10-11 GEN.png
1WK,HEATSINK FAN,INTEL,10-11 GEN,HEATSINK FAN - INTEL 10-11 GEN,,-₱20.00,₱0.00,0,/images/components/heatsink fan/INTEL 10-11 GEN.png
1YR,PORTABLE FAN,JISULIFE,ULTRA 1 GREY,PORTABLE FAN - JISULIFE ULTRA 1 GREY,"₱3,699","₱3,500.00","₱4,142.88",0,/images/components/portable fan/JISULIFE ULTRA 1 GREY.png
2MOS,PORTABLE FAN,JISULIFE,LIFE5 PLUS 4000MAH,PORTABLE FAN - JISULIFE LIFE5 PLUS 4000MAH,₱750,₱750.00,₱840.00,2,/images/components/portable fan/JISULIFE LIFE5 PLUS 4000MAH.png
1YR,PRO & MOBO - NO COOLER,R7 7700X,ASROCK B550M PRO RS WIFI,PRO & MOBO - NO COOLER - R7 7700X ASROCK B550M PRO RS WIFI,"₱30,400","₱30,300.00","₱34,048.00",0,/images/components/pro & mobo - no cooler/R7 7700X ASROCK B550M PRO RS WIFI.png
1YR,PSU,INPLAY,AK-400  400WATTS SEMI- RATED,PSU - INPLAY AK-400  400WATTS SEMI- RATED,₱550,₱530.00,₱616.00,0,/images/components/psu/INPLAY AK-400  400WATTS SEMI- RATED.png
1YR,PSU - TR,ACER,AC550 550W 80+ BRONZE,PSU - TR - ACER AC550 550W 80+ BRONZE,"₱1,650","₱1,630.00","₱1,848.00",4,/images/components/psu - tr/ACER AC550 550W 80+ BRONZE.png
1YR,PSU - TR,ACER,AC650 650W 80+ BRONZE,PSU - TR - ACER AC650 650W 80+ BRONZE,"₱2,220","₱2,200.00","₱2,486.40",(1),/images/components/psu - tr/ACER AC650 650W 80+ BRONZE.png
1YR,PSU - TR,ACER,AC1000 1000W 80+ GOLD,PSU - TR - ACER AC1000 1000W 80+ GOLD,"₱2,800","₱2,780.00","₱3,136.00",0,/images/components/psu - tr/ACER AC1000 1000W 80+ GOLD.png
1YR,PSU - TR,COOLER MASTER,MWE 80+ BRONZE V3 750watts,PSU - TR - COOLER MASTER MWE 80+ BRONZE V3 750watts,"₱3,900","₱3,850.00","₱4,368.00",1,/images/components/psu - tr/COOLER MASTER MWE 80+ BRONZE V3 750watts.png
1YR,PSU - TR,COOLER MASTER,MWE 80+ BRONZE V3 650watts,PSU - TR - COOLER MASTER MWE 80+ BRONZE V3 650watts,"₱3,500","₱3,450.00","₱3,920.00",0,/images/components/psu - tr/COOLER MASTER MWE 80+ BRONZE V3 650watts.png
1YR,PSU - TR,COOLER MASTER,MWE 80+ GOLD V2 FM 850watts,PSU - TR - COOLER MASTER MWE 80+ GOLD V2 FM 850watts,"₱6,800","₱6,780.00","₱7,616.00",0,/images/components/psu - tr/COOLER MASTER MWE 80+ GOLD V2 FM 850watts.png
1YR,PSU - TR,CORSAIR,CX550 80+ BRONZE 550watts,PSU - TR - CORSAIR CX550 80+ BRONZE 550watts,"₱2,850","₱2,800.00","₱3,192.00",0,/images/components/psu - tr/CORSAIR CX550 80+ BRONZE 550watts.png
1YR,PSU - TR,CORSAIR,CX650 80+ BRONZE 650watts,PSU - TR - CORSAIR CX650 80+ BRONZE 650watts,"₱3,500","₱3,450.00","₱3,920.00",1,/images/components/psu - tr/CORSAIR CX650 80+ BRONZE 650watts.png
1YR,PSU - TR,CORSAIR,CV750 80+ BRONZE 750watts,PSU - TR - CORSAIR CV750 80+ BRONZE 750watts,"₱3,690","₱3,640.00","₱4,132.80",0,/images/components/psu - tr/CORSAIR CV750 80+ BRONZE 750watts.png
1YR,PSU - TR,CORSAIR,RM750E 80+ GOLD FULLY MODULAR 750watts,PSU - TR - CORSAIR RM750E 80+ GOLD FULLY MODULAR 750watts,"₱6,900","₱6,880.00","₱7,728.00",0,/images/components/psu - tr/CORSAIR RM750E 80+ GOLD FULLY MODULAR 750watts.png
1YR,PSU - TR,CORSAIR,RM850E 80+ GOLD FULLY MODULAR 850watts,PSU - TR - CORSAIR RM850E 80+ GOLD FULLY MODULAR 850watts,"₱7,450","₱7,430.00","₱8,344.00",0,/images/components/psu - tr/CORSAIR RM850E 80+ GOLD FULLY MODULAR 850watts.png
1YR,PSU - TR,DEEP COOL,DE-600 v2 600watts,PSU - TR - DEEP COOL DE-600 v2 600watts,"₱2,050","₱2,000.00","₱2,296.00",0,/images/components/psu - tr/DEEP COOL DE-600 v2 600watts.png
1YR,PSU - TR,KEYTECH,BTS-550 BRONZE 550WATTS,PSU - TR - KEYTECH BTS-550 BRONZE 550WATTS,"₱1,080","₱1,070.00","₱1,209.60",2,/images/components/psu - tr/KEYTECH BTS-550 BRONZE 550WATTS.png
1YR,PSU - TR,KEYTECH,BTS-650 BRONZE 650WATTS,PSU - TR - KEYTECH BTS-650 BRONZE 650WATTS,"₱1,300","₱1,290.00","₱1,456.00",2,/images/components/psu - tr/KEYTECH BTS-650 BRONZE 650WATTS.png
1YR,PSU - TR,KEYTECH,BTS-750 BRONZE 750WATTS,PSU - TR - KEYTECH BTS-750 BRONZE 750WATTS,"₱1,550","₱1,530.00","₱1,736.00",1,/images/components/psu - tr/KEYTECH BTS-750 BRONZE 750WATTS.png
1YR,PSU - TR,REDRAGON,(GC-PS014W/RGPS-650SFX) 80+ GOLD FULL MOD (white) 650watts,PSU - TR - REDRAGON (GC-PS014W/RGPS-650SFX) 80+ GOLD FULL MOD (white) 650watts,"₱5,600","₱5,550.00","₱6,272.00",0,/images/components/psu - tr/REDRAGON (GC-PS014W/RGPS-650SFX) 80+ GOLD FULL MOD (white) 650watts.png
1YR,PSU - TR,REDRAGON,RGPS-700W 80+ BRONZE FULL MODULAR,PSU - TR - REDRAGON RGPS-700W 80+ BRONZE FULL MODULAR,"₱3,900","₱3,880.00","₱4,368.00",0,/images/components/psu - tr/REDRAGON RGPS-700W 80+ BRONZE FULL MODULAR.png
1YR,PSU - TR,GIGABYTE,P550SS SILVER WHITE (ICE),PSU - TR - GIGABYTE P550SS SILVER WHITE (ICE),"₱2,300",,"₱2,576.00",0,/images/components/psu - tr/GIGABYTE P550SS SILVER WHITE (ICE).png
1YR,PSU - TR,GIGABYTE,P550SS SILVER,PSU - TR - GIGABYTE P550SS SILVER,"₱2,250",,"₱2,520.00",1,/images/components/psu - tr/GIGABYTE P550SS SILVER.png
1YR,PSU - TR,INPLAY,GS550 ULTRA BLACK ATX POWERSUPPLY 550W 80+ BRONZE RGB,PSU - TR - INPLAY GS550 ULTRA BLACK ATX POWERSUPPLY 550W 80+ BRONZE RGB,"₱1,150","₱1,130.00","₱1,288.00",10,/images/components/psu - tr/INPLAY GS550 ULTRA BLACK ATX POWERSUPPLY 550W 80+ BRONZE RGB.png
1YR,PSU - TR,INPLAY,GS650 ULTRA BLACK ATX POWERSUPPLY 650W 80+ BRONZE RGB,PSU - TR - INPLAY GS650 ULTRA BLACK ATX POWERSUPPLY 650W 80+ BRONZE RGB,"₱1,350","₱1,330.00","₱1,512.00",9,/images/components/psu - tr/INPLAY GS650 ULTRA BLACK ATX POWERSUPPLY 650W 80+ BRONZE RGB.png
1YR,PSU - TR,CORSAIR,CX750 80+ BRONZE 750watts,PSU - TR - CORSAIR CX750 80+ BRONZE 750watts,"₱3,600","₱3,550.00","₱4,032.00",0,/images/components/psu - tr/CORSAIR CX750 80+ BRONZE 750watts.png
6MOS,PSU GENERIC,CVS,MXT-800 LONG FLAT CABLE BLACK 800watts,PSU GENERIC - CVS MXT-800 LONG FLAT CABLE BLACK 800watts,₱450,₱450.00,₱504.00,17,/images/components/psu generic/CVS MXT-800 LONG FLAT CABLE BLACK 800watts.png
6MOS,PSU GENERIC,KEYTECH,VP700L,PSU GENERIC - KEYTECH VP700L,₱450,₱430.00,₱504.00,8,/images/components/psu generic/KEYTECH VP700L.png
6MOS,PSU GENERIC,KEYTECH,THUNDERBOLT 800watts,PSU GENERIC - KEYTECH THUNDERBOLT 800watts,₱450,₱430.00,₱504.00,0,/images/components/psu generic/KEYTECH THUNDERBOLT 800watts.png
6MOS,PSU GENERIC,YGT ,TOP ONE-2 KY-700 ATX 700watts,PSU GENERIC - YGT  TOP ONE-2 KY-700 ATX 700watts,₱450,₱430.00,₱504.00,0,/images/components/psu generic/YGT TOP ONE-2 KY-700 ATX 700watts.png
1YR,RAM 2666mhz,SKIHOTAR,DDR4 4gb,RAM 2666mhz - SKIHOTAR DDR4 4gb,₱700,₱700.00,₱784.00,0,/images/components/ram 2666mhz/SKIHOTAR DDR4 4gb.png
1YR,RAM 3200MHZ,KINGSPEC,DDR4 8GB - RGB,RAM 3200MHZ - KINGSPEC DDR4 8GB - RGB,"₱1,350","₱1,300.00","₱1,512.00",0,/images/components/ram 3200mhz/KINGSPEC DDR4 8GB - RGB.png
1YR,RAM 3200MHZ,KINGSTON,FURY BEAST DDR4 16gb (single stick),RAM 3200MHZ - KINGSTON FURY BEAST DDR4 16gb (single stick),"₱1,450","₱1,420.00","₱1,624.00",7,/images/components/ram 3200mhz/KINGSTON FURY BEAST DDR4 16gb (single stick).png
1YR,RAM 3200MHZ,NEO FORZA,FAYE DDR4 16GB (2X8GB) 3200 NON RGB w/ HS,RAM 3200MHZ - NEO FORZA FAYE DDR4 16GB (2X8GB) 3200 NON RGB w/ HS,"₱1,650","₱1,600.00","₱1,848.00",0,/images/components/ram 3200mhz/NEO FORZA FAYE DDR4 16GB (2X8GB) 3200 NON RGB w/ HS.png
1YR,RAM 3200MHZ,SKIHOTAR,DDR4 8GB,RAM 3200MHZ - SKIHOTAR DDR4 8GB,"₱1,150","₱1,100.00","₱1,288.00",0,/images/components/ram 3200mhz/SKIHOTAR DDR4 8GB.png
1YR,RAM 3200MHZ,TEAM ELITE,PLUS GOLD DDR4  8GB,RAM 3200MHZ - TEAM ELITE PLUS GOLD DDR4  8GB,₱850,₱800.00,₱952.00,0,/images/components/ram 3200mhz/TEAM ELITE PLUS GOLD DDR4  8GB.png
1YR,RAM 3200MHZ,TFORCE,Delta RGB DDR4 16gb-kit (2x8gb) black,RAM 3200MHZ - TFORCE Delta RGB DDR4 16gb-kit (2x8gb) black,"₱2,800","₱2,750.00","₱3,136.00",1,/images/components/ram 3200mhz/TFORCE Delta RGB DDR4 16gb-kit (2x8gb) black.png
